| tabela                           | e_view | campo                  | tipo                        | obrigatorio | chave_primaria | chave_unica | tabela_relacionada    | campo_relacionado | comentario |
| -------------------------------- | ------ | ---------------------- | --------------------------- | ----------- | -------------- | ----------- | --------------------- | ----------------- | ---------- |
| beneficios                       | false  | id                     | uuid                        | true        | true           | false       | null                  | null              | null       |
| beneficios                       | false  | titulo                 | text                        | true        | false          | false       | null                  | null              | null       |
| beneficios                       | false  | descricao              | text                        | false       | false          | false       | null                  | null              | null       |
| beneficios                       | false  | icone                  | text                        | false       | false          | false       | null                  | null              | null       |
| beneficios                       | false  | pontos_necessarios     | integer                     | true        | false          | false       | null                  | null              | null       |
| beneficios                       | false  | categoria_id           | uuid                        | false       | false          | false       | categorias_beneficios | id                | null       |
| beneficios                       | false  | url_imagens            | jsonb                       | false       | false          | false       | null                  | null              | null       |
| beneficios                       | false  | destaque               | boolean                     | true        | false          | false       | null                  | null              | null       |
| beneficios_resgatados            | false  | id                     | uuid                        | true        | true           | false       | null                  | null              | null       |
| beneficios_resgatados            | false  | usuario_id             | uuid                        | false       | false          | false       | usuarios              | id                | null       |
| beneficios_resgatados            | false  | beneficio_id           | uuid                        | false       | false          | false       | beneficios            | id                | null       |
| beneficios_resgatados            | false  | resgatado_em           | timestamp without time zone | false       | false          | false       | null                  | null              | null       |
| beneficios_resgatados            | false  | pontos_gastos          | integer                     | true        | false          | false       | null                  | null              | null       |
| categorias_beneficios            | false  | id                     | uuid                        | true        | true           | false       | null                  | null              | null       |
| categorias_beneficios            | false  | nome                   | text                        | true        | false          | false       | null                  | null              | null       |
| compras                          | false  | id                     | uuid                        | true        | true           | false       | null                  | null              | null       |
| compras                          | false  | usuario_id             | uuid                        | false       | false          | false       | usuarios              | id                | null       |
| compras                          | false  | parceiro_id            | uuid                        | false       | false          | false       | parceiros             | id                | null       |
| compras                          | false  | valor                  | numeric                     | true        | false          | false       | null                  | null              | null       |
| compras                          | false  | data_compra            | date                        | true        | false          | false       | null                  | null              | null       |
| compras                          | false  | pontos_gerados         | integer                     | false       | false          | false       | null                  | null              | null       |
| compras                          | false  | descricao              | text                        | false       | false          | false       | null                  | null              | null       |
| configuracoes_pontuacao          | false  | id                     | uuid                        | true        | true           | false       | null                  | null              | null       |
| configuracoes_pontuacao          | false  | tipo_usuario_id        | uuid                        | false       | false          | false       | tipos_usuarios        | id                | null       |
| configuracoes_pontuacao          | false  | suite_id               | uuid                        | false       | false          | false       | suites                | id                | null       |
| configuracoes_pontuacao          | false  | fator                  | numeric                     | true        | false          | false       | null                  | null              | null       |
| configuracoes_pontuacao          | false  | bonus_percent          | numeric                     | true        | false          | false       | null                  | null              | null       |
| configuracoes_pontuacao          | false  | ativo                  | boolean                     | false       | false          | false       | null                  | null              | null       |
| extratos                         | true   | id                     | uuid                        | false       | false          | false       | null                  | null              | null       |
| extratos                         | true   | usuario_id             | uuid                        | false       | false          | false       | null                  | null              | null       |
| extratos                         | true   | data                   | date                        | false       | false          | false       | null                  | null              | null       |
| extratos                         | true   | descricao              | text                        | false       | false          | false       | null                  | null              | null       |
| extratos                         | true   | pontos                 | integer                     | false       | false          | false       | null                  | null              | null       |
| extratos                         | true   | tipo                   | text                        | false       | false          | false       | null                  | null              | null       |
| historico_pontos                 | false  | id                     | uuid                        | true        | true           | false       | null                  | null              | null       |
| historico_pontos                 | false  | usuario_id             | uuid                        | false       | false          | false       | usuarios              | id                | null       |
| historico_pontos                 | false  | data                   | date                        | true        | false          | false       | null                  | null              | null       |
| historico_pontos                 | false  | descricao              | text                        | false       | false          | false       | null                  | null              | null       |
| historico_pontos                 | false  | pontos                 | integer                     | true        | false          | false       | null                  | null              | null       |
| historico_pontos                 | false  | tipo                   | text                        | true        | false          | false       | null                  | null              | null       |
| notificacoes                     | false  | id                     | uuid                        | true        | true           | false       | null                  | null              | null       |
| notificacoes                     | false  | usuario_id             | uuid                        | false       | false          | false       | usuarios              | id                | null       |
| notificacoes                     | false  | titulo                 | text                        | false       | false          | false       | null                  | null              | null       |
| notificacoes                     | false  | mensagem               | text                        | false       | false          | false       | null                  | null              | null       |
| notificacoes                     | false  | data                   | date                        | false       | false          | false       | null                  | null              | null       |
| notificacoes                     | false  | lida                   | boolean                     | false       | false          | false       | null                  | null              | null       |
| parceiros                        | false  | id                     | uuid                        | true        | true           | false       | null                  | null              | null       |
| parceiros                        | false  | nome                   | text                        | true        | false          | false       | null                  | null              | null       |
| parceiros                        | false  | logo                   | text                        | false       | false          | false       | null                  | null              | null       |
| parceiros                        | false  | banner                 | text                        | false       | false          | false       | null                  | null              | null       |
| parceiros                        | false  | descricao              | text                        | false       | false          | false       | null                  | null              | null       |
| parceiros                        | false  | telefone               | text                        | false       | false          | false       | null                  | null              | null       |
| parceiros                        | false  | email                  | text                        | false       | false          | false       | null                  | null              | null       |
| parceiros                        | false  | endereco               | text                        | false       | false          | false       | null                  | null              | null       |
| parceiros                        | false  | site                   | text                        | false       | false          | false       | null                  | null              | null       |
| parceiros                        | false  | novo                   | boolean                     | false       | false          | false       | null                  | null              | null       |
| parceiros                        | false  | instagram              | text                        | false       | false          | false       | null                  | null              | null       |
| parceiros                        | false  | facebook               | text                        | false       | false          | false       | null                  | null              | null       |
| parceiros                        | false  | twitter                | text                        | false       | false          | false       | null                  | null              | null       |
| parceiros                        | false  | url_images             | jsonb                       | false       | false          | false       | null                  | null              | null       |
| parceiros_publicos               | true   | id                     | uuid                        | false       | false          | false       | null                  | null              | null       |
| parceiros_publicos               | true   | nome                   | text                        | false       | false          | false       | null                  | null              | null       |
| parceiros_publicos               | true   | logo                   | text                        | false       | false          | false       | null                  | null              | null       |
| parceiros_publicos               | true   | banner                 | text                        | false       | false          | false       | null                  | null              | null       |
| parceiros_publicos               | true   | descricao              | text                        | false       | false          | false       | null                  | null              | null       |
| parceiros_publicos               | true   | telefone               | text                        | false       | false          | false       | null                  | null              | null       |
| parceiros_publicos               | true   | email                  | text                        | false       | false          | false       | null                  | null              | null       |
| parceiros_publicos               | true   | endereco               | text                        | false       | false          | false       | null                  | null              | null       |
| parceiros_publicos               | true   | site                   | text                        | false       | false          | false       | null                  | null              | null       |
| parceiros_publicos               | true   | novo                   | boolean                     | false       | false          | false       | null                  | null              | null       |
| parceiros_publicos               | true   | instagram              | text                        | false       | false          | false       | null                  | null              | null       |
| parceiros_publicos               | true   | facebook               | text                        | false       | false          | false       | null                  | null              | null       |
| parceiros_publicos               | true   | twitter                | text                        | false       | false          | false       | null                  | null              | null       |
| parceiros_publicos               | true   | url_images             | jsonb                       | false       | false          | false       | null                  | null              | null       |
| reservas                         | false  | id                     | uuid                        | true        | true           | false       | null                  | null              | null       |
| reservas                         | false  | usuario_id             | uuid                        | false       | false          | false       | usuarios              | id                | null       |
| reservas                         | false  | checkin                | date                        | true        | false          | false       | null                  | null              | null       |
| reservas                         | false  | checkout               | date                        | true        | false          | false       | null                  | null              | null       |
| reservas                         | false  | tipo_quarto            | text                        | true        | false          | false       | null                  | null              | null       |
| reservas                         | false  | status                 | text                        | false       | false          | false       | null                  | null              | null       |
| reservas                         | false  | horario_checkin        | text                        | false       | false          | false       | null                  | null              | null       |
| reservas                         | false  | suite_id               | uuid                        | false       | false          | false       | suites                | id                | null       |
| suites                           | false  | id                     | uuid                        | true        | true           | false       | null                  | null              | null       |
| suites                           | false  | nome                   | text                        | true        | false          | false       | null                  | null              | null       |
| suites                           | false  | descricao              | text                        | false       | false          | false       | null                  | null              | null       |
| suites                           | false  | capacidade             | integer                     | false       | false          | false       | null                  | null              | null       |
| suites                           | false  | valor_base             | numeric                     | false       | false          | false       | null                  | null              | null       |
| suites                           | false  | disponivel             | boolean                     | false       | false          | false       | null                  | null              | null       |
| suites                           | false  | fator                  | smallint                    | false       | false          | false       | null                  | null              | null       |
| tipos_usuarios                   | false  | id                     | uuid                        | true        | true           | false       | null                  | null              | null       |
| tipos_usuarios                   | false  | nome                   | text                        | true        | false          | false       | null                  | null              | null       |
| tipos_usuarios                   | false  | fator                  | smallint                    | false       | false          | false       | null                  | null              | null       |
| usuarios                         | false  | id                     | uuid                        | true        | true           | false       | null                  | null              | null       |
| usuarios                         | false  | nome_usuario           | text                        | true        | false          | false       | null                  | null              | null       |
| usuarios                         | false  | email                  | text                        | true        | false          | true        | null                  | null              | null       |
| usuarios                         | false  | telefone               | text                        | false       | false          | false       | null                  | null              | null       |
| usuarios                         | false  | pontos                 | integer                     | false       | false          | false       | null                  | null              | null       |
| usuarios                         | false  | nivel                  | text                        | false       | false          | false       | null                  | null              | null       |
| usuarios                         | false  | criado_em              | timestamp without time zone | false       | false          | false       | null                  | null              | null       |
| usuarios                         | false  | tipo_id                | uuid                        | false       | false          | false       | tipos_usuarios        | id                | null       |
| usuarios                         | false  | cpf                    | text                        | false       | false          | false       | null                  | null              | null       |
| usuarios                         | false  | nascimento             | date                        | false       | false          | false       | null                  | null              | null       |
| v_beneficios_com_categorias      | true   | beneficio_id           | uuid                        | false       | false          | false       | null                  | null              | null       |
| v_beneficios_com_categorias      | true   | titulo                 | text                        | false       | false          | false       | null                  | null              | null       |
| v_beneficios_com_categorias      | true   | descricao              | text                        | false       | false          | false       | null                  | null              | null       |
| v_beneficios_com_categorias      | true   | icone                  | text                        | false       | false          | false       | null                  | null              | null       |
| v_beneficios_com_categorias      | true   | pontos_necessarios     | integer                     | false       | false          | false       | null                  | null              | null       |
| v_beneficios_com_categorias      | true   | destaque               | boolean                     | false       | false          | false       | null                  | null              | null       |
| v_beneficios_com_categorias      | true   | categoria_nome         | text                        | false       | false          | false       | null                  | null              | null       |
| v_beneficios_disponiveis_usuario | true   | usuario_id             | uuid                        | false       | false          | false       | null                  | null              | null       |
| v_beneficios_disponiveis_usuario | true   | nome_usuario           | text                        | false       | false          | false       | null                  | null              | null       |
| v_beneficios_disponiveis_usuario | true   | pontos_usuario         | integer                     | false       | false          | false       | null                  | null              | null       |
| v_beneficios_disponiveis_usuario | true   | beneficio_id           | uuid                        | false       | false          | false       | null                  | null              | null       |
| v_beneficios_disponiveis_usuario | true   | titulo                 | text                        | false       | false          | false       | null                  | null              | null       |
| v_beneficios_disponiveis_usuario | true   | descricao              | text                        | false       | false          | false       | null                  | null              | null       |
| v_beneficios_disponiveis_usuario | true   | pontos_necessarios     | integer                     | false       | false          | false       | null                  | null              | null       |
| v_beneficios_disponiveis_usuario | true   | icone                  | text                        | false       | false          | false       | null                  | null              | null       |
| v_beneficios_disponiveis_usuario | true   | url_imagens            | jsonb                       | false       | false          | false       | null                  | null              | null       |
| v_beneficios_disponiveis_usuario | true   | categoria_id           | uuid                        | false       | false          | false       | null                  | null              | null       |
| v_beneficios_disponiveis_usuario | true   | categoria_nome         | text                        | false       | false          | false       | null                  | null              | null       |
| v_beneficios_disponiveis_usuario | true   | pode_resgatar          | boolean                     | false       | false          | false       | null                  | null              | null       |
| v_compras_usuario                | true   | id                     | uuid                        | false       | false          | false       | null                  | null              | null       |
| v_compras_usuario                | true   | usuario_id             | uuid                        | false       | false          | false       | null                  | null              | null       |
| v_compras_usuario                | true   | descricao              | text                        | false       | false          | false       | null                  | null              | null       |
| v_compras_usuario                | true   | valor                  | numeric                     | false       | false          | false       | null                  | null              | null       |
| v_compras_usuario                | true   | pontos_gerados         | integer                     | false       | false          | false       | null                  | null              | null       |
| v_compras_usuario                | true   | data_compra            | date                        | false       | false          | false       | null                  | null              | null       |
| v_compras_usuario                | true   | parceiro_nome          | text                        | false       | false          | false       | null                  | null              | null       |
| v_dashboard_usuario              | true   | usuario_id             | uuid                        | false       | false          | false       | null                  | null              | null       |
| v_dashboard_usuario              | true   | nome_usuario           | text                        | false       | false          | false       | null                  | null              | null       |
| v_dashboard_usuario              | true   | nivel                  | text                        | false       | false          | false       | null                  | null              | null       |
| v_dashboard_usuario              | true   | pontos                 | integer                     | false       | false          | false       | null                  | null              | null       |
| v_dashboard_usuario              | true   | reserva_id             | uuid                        | false       | false          | false       | null                  | null              | null       |
| v_dashboard_usuario              | true   | checkin                | date                        | false       | false          | false       | null                  | null              | null       |
| v_dashboard_usuario              | true   | checkout               | date                        | false       | false          | false       | null                  | null              | null       |
| v_dashboard_usuario              | true   | tipo_quarto            | text                        | false       | false          | false       | null                  | null              | null       |
| v_dashboard_usuario              | true   | status                 | text                        | false       | false          | false       | null                  | null              | null       |
| v_dashboard_usuario              | true   | historico_ponto_id     | uuid                        | false       | false          | false       | null                  | null              | null       |
| v_dashboard_usuario              | true   | data_ponto             | date                        | false       | false          | false       | null                  | null              | null       |
| v_dashboard_usuario              | true   | descricao_ponto        | text                        | false       | false          | false       | null                  | null              | null       |
| v_dashboard_usuario              | true   | pontos_movimentados    | integer                     | false       | false          | false       | null                  | null              | null       |
| v_dashboard_usuario              | true   | tipo_movimentacao      | text                        | false       | false          | false       | null                  | null              | null       |
| v_dashboard_usuario              | true   | beneficio_resgatado_id | uuid                        | false       | false          | false       | null                  | null              | null       |
| v_dashboard_usuario              | true   | resgatado_em           | timestamp without time zone | false       | false          | false       | null                  | null              | null       |
